_id,Project,Province,District,Municipality,Capacity (MW),River,Lic No,Isuue Date,Validity,Promoter,Address,Longitude,Latitude,License Type
246,Madkyu Khola,Province 4,KASKI,Madi,13.0,Madkyu,116,2070-11-21,2105-11-20,Silkes Hydropower Pvt.Ltd,"P.O.Box. 170, Lekhnath Nagar Palika - 3, Kaski, Phone 061-560236, Fax 061-532466",84.13555556,28.36805556,Operation
247,Madme Khola HPP,Province 4,KASKI,Madi,24.0,Madme Khola,873,2074-04-15,2076-04-14,Madme Khola Hydropower P.Ltd.,"Mid Banesor, Kathmandu-34, Kathmandu Somnath Kandel: 9851201536",84.13555556,28.43194444,Survey
248,Madya Super Daraundi HPP,Province 4,GORKHA,Dharche,10.0,Daraundi,892,2074-05-16,2076-05-15,Barpak Daraundi Hydropower Company Pvt. Ltd.,"Kathmandu 9, Phone no 9841439188",84.72555556,28.20555556,Survey
249,Mai,Province 1,ILAM,Illam,22.0,Mai Khola,37,2067-05-13,2102-05-12,Sanima Mai Hydropower Limited,"GPO 19737, Ph: 44445952, 444642 Fax:4425953",87.89166667,26.81125,Operation
250,Mai Beni HPP,Province 1,ILAM,Suryodaya,9.51,Mai Khola,228,2075-01-06,2110-01-05,Samling Power company Pvt.Ltd,"Baneshwor 10, Kathmandu, Phone no 9851018025, 5539135, 5525228",87.95111111,26.90694444,Generation
251,Mai Cascade,Province 1,ILAM,Illam,7.0,Mai Khola,72,2069-07-15,2104-07-14,Sanima Mai Hydropower Limited,"Narananchaur, Naksal Kathmandu, P. O. Box 19737, Phone 01-4446442, Fax 01-4441277",87.87652778,26.77555556,Operation
252,Mai Cascade HPP,Province 1,ILAM,Maijogmai,8.0,Mai Khola,101,2070-04-15,2105-04-14,Himal Dolkha Hydropower Company Pvt Ltd,"Baneswar, Kathmandu Tel: 9851085922,2043191",87.92416667,26.86194444,Operation
253,Mai Khola,Province 1,ILAM,Maijogmai,4.5,Mai Khola,23,2064-08-20,2099-08-19,Himal Dolkha Hydropower Co Ltd,0,87.93680556,26.885,Operation
254,Mai Third HPP,Province 1,ILAM,Rong,4.82,Mai Khola,882,2074-04-23,2076-04-22,East Construction and Engineering Consultancy Pvt. Ltd.,"Kalopul-7, Ktm.",87.90625,26.84027778,Survey
255,Mailung Khola,Province 3,RASUWA,Gosaikunda,5.0,Mailung Khola,13,2060-12-03,2094-12-30,Mailun Khola Hydropower Company Pvt. Ltd,0,85.20458333,28.07541667,Operation
256,Makari gad,Province 7,DARCHULA,Apihimal,10.0,Makari gad,170,2073-05-27,2108-05-26,Makarigad Hydropower Pvt. Ltd,"Panipokhari, Kathmandu, Phone no 4442048, 4414714, email : makarigad@gmail.com",80.85875,29.79125,Generation
257,Malta Bagmati Small Hydro Power Project,Province 3,LALITPUR,Konjyosom,8.85,Bagmati,833,2074-02-21,2076-02-20,Bagmati Water Energy Pvt. Ltd.,"Banasthali, Kathmandu-16, Kathmandu",85.2525,27.48236111,Survey
258,Manahari Khola HEP,Province 3,MAKAWANPUR,Thaha,9.258,Manhari,953,2074-08-11,2076-08-10,Sabita Godar Thapa,"Samakhusi, Kathmandu",84.90138889,27.57375,Survey
259,Mardi Khola,Province 4,KASKI,Machhapuchchhre,4.8,Mardi,21,2063-10-08,2098-10-07,Gandaki Hydropower Development Co. P. Ltd,0,83.88680556,28.345,Operation
260,Marshyangdi-7 Hydropower Project,Province 4,MANANG,Narphu,54.0,Marsyangdi,887,2074-05-09,2076-05-08,Himal Energy Venture Pvt. Ltd.,Kathmandu-10,84.21722222,28.57416667,Survey
261,Marsyangdi,Province 4,GORKHA,Gorkha,69.0,Marsyangdi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,84.48638889,27.91083333,Operation
262,Marsyangdi Besi,Province 4,LAMJUNG,Besishahar,50.0,Marsyangdi,206,2074-06-01,2109-05-31,Divyajyoti Hydropower Pvt. Ltd.,"Bagdol Lalitpur, P.O.Box 23311, Phone no 5552175",84.38263889,28.23333333,Generation
263,Masina HPP,Province 4,KASKI,Pokhara Lekhnath,0.8,Kotre Khola,0,2073-10-21,2075-10-20,Masina Tourism Cooperative Ltd.,"Lekhnath-13, Tallo Gagangauda.Kaski. 61531599,",84.08986111,28.09597222,Survey
264,Mathillo Langtang HEP,Province 3,RASUWA,Gosaikunda,24.35,Langtang,973,2074-09-21,2076-09-20,Yeti Langtang Energy Pvt. Ltd,"Yeti Building, Tilganga Ringroad, Kathmandu",85.53638889,28.20819444,Survey
265,Maya Khola Hydropower Project,Province 1,SANKHUWASABHA,Chainpur,14.9,Maya,123,2071-02-26,2106-02-25,Maya Khola Hydropower Company pvt Ltd,"126 Milap Marg, Bisalnagar, Kathmandu, Nepal. P.O.Box: 8975, EPC: 5602, Tel: 4417947, Fax; 977-1-4433610",87.34152778,27.24513889,Generation
266,Menchet Khola HPP,Province 3,DHADING,Rubi Valley,7.0,Menchet Khola,753,2073-08-03,2075-08-02,Ruby Valley Hydropower Com.Ltd.,"Kathmandu-11, Babarmahal, 4222934",85.09472222,28.18930556,Survey
267,Mewa khola HPP,Province 1,TAPLEJUNG,Mikwakhola,23.0,Mewa Khola,782,2073-10-18,2075-10-17,Union Mewa hydro ltd,"Lalitpur 3 Dhobighat, 5525406,",87.60194444,27.57208333,Survey
268,Mewa Khola Hydropower project,Province 1,TAPLEJUNG,Phungling,50.0,Mewa Khola,201,2074-04-15,2109-04-14,United Mewa Khola Hydropower Pvt Ltd,"Anamnagar, Kathmandu, Tel: 4770245, Fax: 4771109",87.61597222,27.425,Generation
269,Mid Rawa Khola HEP,Province 1,KHOTANG,Ainselukhark,2.5,Rawa Khola,842,2074-02-26,2076-02-26,Rawa Energy Development Pvt. Ltd.,"Ghattekulo, Kathmandu, 9851096066",86.82902778,27.34555556,Survey
270,Mid Solu Khola Hydropower Project,Province 1,SOLUKHUMBU,Solududhakunda,9.5,Solu Khola,871,2074-04-06,2076-04-05,Er. Rajendra Prasad Gautam,"Baneshwor-10, Baburam Acharaya Sadak 1757/70, Kathmandu Mo. 9751000158",86.57569444,27.50416667,Survey
271,Middle Budhiganga Hydropower Project,Province 7,BAJURA,Budhiganga,5.0,Budhi Ganga,719,2073-02-05,2076-02-04,Reliable Hydropower Company Pvt.Ltd.,"Kathmandu-31,Heritage Plaza c,d,Kamaladi.4169116",81.30625,29.32569444,Survey
272,Middle Chaku Khola,Province 3,SINDHUPALCHOK,Bhotekoshi,1.8,Chaku,44,2067-12-07,2102-12-06,Laughing Budha Power Nepal,"GPO Box: 4619 , Katmandu",85.93125,27.87638889,Operation
273,Middle Chameliya HPP,Province 7,DARCHULA,Marma,13.0,Chameliya Khola,920,2074-06-29,2076-06-28,"Ram Hari Bajgain, Tek Praad Chaulagain and Gyani Regmi,","Phone no 9851092614, 9851023270,",80.76027778,29.74180556,Survey
274,Middle Daram Khola-A HPP,Province 4,MYAGDI,Mangala,3.0,Daram,230,2075-02-09,2110-02-08,Dhaulagiri Cem Engineering Pvt Ltd,Baglung,83.42388889,28.27194444,Generation
275,Middle Daram Khola-B HPP,Province 4,BAGLUNG,Kanthekhola,4.5,Daram,231,2075-02-09,2110-02-08,Dhaulagiri CEM Engineering Pvt. Ltd.,"Baglung-11, Mobile 9745025919",83.42388889,28.24986111,Generation
276,Middle Hongu Khola B HPP,Province 1,SOLUKHUMBU,Mahakulung,22.9,Hongu Khola,830,2074-02-16,2076-02-15,Gaurishankar Power Development Pvt. Ltd,"Kathmandu-34, Baneshwor, Phone 4992910, 9851133303",86.83333333,27.5,Survey
277,Middle Hongukhola A Hydropower Project,Province 1,KHOTANG,Sakela,22.0,Hongu Khola,844,2074-02-26,2076-02-25,Apex Makalu Hydropower Pvt. Ltd.,"Kathmandu 34, Baneshor. Kedar Nath Paudel, Mob: 9851073799",86.87736111,27.52486111,Survey
278,MIddle Ingwa Khola Hydropower Project,Province 1,TAPLEJUNG,Sidingba,15.0,Iwa Khola,861,2074-03-22,2076-03-21,Gopal Mainali,"Budhabaare-8, Jhapa, Temporary Add. Birtamod-06,Jhapa Ph. No. 01-5156167, Mo. 98626080377",87.94958333,27.29208333,Survey
279,Middle Kaligandaki,Province 4,MUSTANG,Thasang,53.539,Kali Gandaki,670,2070-07-15,2075-07-14,Hydro Support Pvt. Ltd.,"IME Complex, Panipokhari, Kathmandu. PO Box: 19797, Kathmandu. Phone: 014430600, Fax: 014425800",83.65,28.50138889,Survey
280,Middle Mailung Hydropower Project,Province 3,RASUWA,Gosaikunda,10.0,Mailung Khola,783,2073-10-18,2075-10-17,Mailung Khola Hydropower Company Pvt. Ltd,"POBox. 7148, 539/61 Subarna Shamsher Marg, Bluwatar; Tel. 2001348,4432372",85.20069444,28.09111111,Survey
281,Middle Mewa HPP,Province 1,TAPLEJUNG,Mikwakhola,49.0,Mewa Khola,776,2073-09-05,2075-09-04,Mewa Developers Pvt. LTd,"Tripurewhower , Kathmandu-11. 4243120",87.62291667,27.47791667,Survey
282,Middle Midim,Province 4,LAMJUNG,Besishahar,3.1,Midim Khola,100,2070-04-10,2105-04-09,Madhya Midim Jalvidhyut Company Pvt. Ltd.,"Dhapasi-7, Tirlingtar, Kathmandu, Phone 01-4386514",84.27402778,28.22027778,Generation
283,Middle Modi,Province 4,KASKI,Annapurna,15.1,Modi Khola,93,2070-03-07,2105-03-06,Middle Modi Hydropower Limited,"P.O.Box: 12268, Nepal. Ph:4038030, Fax:4038026",83.76777778,28.29847222,Generation
284,Middle Molung Khola Small HEP,Province 1,OKHALDHUNGA,Molung,4.839,Molung,1023,2075-03-21,2077-03-20,Suvarambha Hydropower(Pvt.) ltd.,"Ka. Ma. Na. Pa 7 Chabahil, Kathmandu, 9851074916,9851093507",86.44444444,27.29472222,Survey
285,Middle Sunkoshi,Province 3,SINDHUPALCHOK,Bhotekoshi,3.4,Sun Koshi,189,2073-12-13,2108-12-12,Lama Hydropower Pvt. Ltd.,"P.O.Box 8965 EPC 5518 Kathmandu, Phone 01-4429399",85.94861111,27.78458333,Generation
286,Middle Tadi HPP,Province 3,NUWAKOT,Langtang National Park,5.5,Tadi Khola,946,2074-07-30,2075-07-29,Dupcheshwor Mahadev Hydro Company Pvt. Ltd.,"Kathmandu, Phone 9851066168",85.40888889,27.96166667,Survey
287,Middle Tamor,Province 1,TAPLEJUNG,Phaktanglung,54.0,Tamor,198,2074-02-22,2109-02-21,Sanima Middle Tamor Hydropower Ltd,"Dhumbarahi, Kathmandu, Phone no 437228/437030, email: sanima@sanimahydro.com",87.68902778,27.40666667,Generation
288,Middle Tara Khola SHP,Province 4,MYAGDI,Beni,1.7,Tara Khola,190,2073-12-13,2108-12-12,Pahadi Hydropower Company Pvt. Ltd.,"Baglung-2, Phone No. : 068-520221, 9747628615",83.39361111,28.32430556,Generation
289,Midim 1 HEP,Province 4,LAMJUNG,Kwholasothar,16.0,Midim Khola,824,2074-02-10,2076-02-09,Mount Rasuwa Upper Mailung Hydropower Pvt. Ltd.,"Tokha 10 Kathmandu, 9851187281",84.275,28.26736111,Survey
290,Midim Khola,Province 4,LAMJUNG,Marsyangdi,3.0,Midim Khola,68,2069-05-06,2104-05-05,Union Hydropower P.Ltd,"P.O.B. No: 12637, Ph: 01-5543850",84.285,28.19069444,Operation
292,Mistri khola 2 HEP,Province 4,KASKI,Annapurna,12.0,Mistri,883,2074-04-29,2076-04-28,Mountain energy Nepal ltd,"Pani pokhari ,KTM, 4437705, 4441648",83.65527778,28.49458333,Survey
293,Miwaje Khola HEP,Province 4,KASKI,Madi,4.95,Miwaje,909,2074-06-01,2076-05-30,Ma Durga Kali HYdropower Company Pvt. Ltd,"Kupondole Lailtpur, 01-5520254, 5012027, fax: 01-5012066",84.00763889,28.41472222,Survey
294,Modi Khola,Province 4,KASKI,Machhapuchchhre,14.8,Modi Khola,3,2052-10-24,2101-11-30,Nepal Electricity Authority,0,83.74611111,28.27875,Operation
295,Molun Khola SHP,Province 1,OKHALDHUNGA,Siddhicharan,7.0,Molun,127,2071-06-02,2106-06-01,Molun Hydropower Co. Pvt. Ltd,"Rabibhawan Kathmandu, P.O.Box 5813, Phone 01-4278130, Fax 01-4280799",86.43347222,27.34444444,Operation
296,Molung Cascade HEP,Province 1,OKHALDHUNGA,Siddhicharan,3.5,Molung,1016,2075-02-28,2077-02-27,Anak Hydropower Co. Pvt. Ltd,"Rabibhawan, Kathmandu, 01-4670518",86.435,27.32597222,Survey
297,Mristi Khola,Province 4,MYAGDI,Annapurna,42.0,Mristi,53,2068-07-20,2103-07-19,Robust Energy Ltd.,"Thamel, Kathmandu-29, Nepal POB 3839, Phone:203334, Fax:4499898",83.66555556,28.51902778,Generation
298,Mudi Khola Hydropower Project,Province 4,MYAGDI,Dhaulagiri,14.7,Mudi Khola,870,2074-04-06,2076-04-05,Everest Energy and Infrastructure Fund Pvt. Ltd.,"Charkhal Road, Dillibazar, Kathmandu-33",83.3425,28.54430556,Survey
299,Mugu Karnali HPP,Province 6,HUMLA,Adanchuli,159.62,Mugu Karnali,951,2074-08-07,2076-08-06,Butwal Power Company Limited,"Ganga Devi Marg 313, Buddha Nagar, New Baneshwar, Post Box. 11728 Ktm, Nepal, Ph. No. 4781776,4784026, Fax. 4780994",81.98444444,29.60222222,Survey
300,Mugu Karnali Storage HEP,Province 7,BAJURA,Budhinanda,1902.0,Karnali,1020,2075-03-15,2077-03-14,Vidhyut Utpadan Company Limited,"Buddhanagar, Kathmandu 01-4788680",81.80375,29.54236111,Survey
301,Myagdi Khola A HEP,Province 4,MYAGDI,Dhaulagiri,23.7,Myagdi,971,2074-09-19,2076-09-18,Dordi Khola Jalvidyut Company Limited,"Blue Star Complex, Tripureshwar, Kathmandu, Ph. No. 01-4232748",83.41430556,28.66,Survey
302,Myagdi Khola Hydropower Project,Province 4,MYAGDI,Raghuganga,57.3,Myagdi Khola,694,2071-10-04,2075-10-03,Hydro Village Pvt. Ltd.,"Lalitpur-22,Jwagal.POBox 4256. 9851050406,9843063534 shshil@sushmitgroup.com,sushil.hyvillage@gmail.com",83.39027778,28.60097222,Survey
303,Myagdi Khola- B HEP,Province 4,MYAGDI,Dhaulagiri,9.5,Myagdi Khola,934,2074-07-21,2076-07-20,Sushmit Energy Pvt. Ltd,Kathmandu 01-4482329,83.3875,28.56375,Survey
304,Nalsyau Gad Storage HEP,Province 6,JAJARKOT,Tribeni Nalagad,410.0,Nalsyau,962,2074-08-26,2076-08-25,Nalgad Hydropower Company Limited,"Kathmandu-10, New Baneshwor, Thapagaun, 4475221, 4469580",82.28333333,28.87791667,Survey
305,Namarjun Madi,Province 4,KASKI,Madi,12.0,Madi Khola,78,2069-09-11,2104-09-10,Himalayan Hydropower Pvt.Ltd,"P.O. Box No.: 20225, Lazimpat, Kathmandu, Phone: 01-4441216, Fax: 01-4441217",84.09277778,28.30777778,Generation
306,Namche Khola Mini HPP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,0.183,Namche Khola,0,2074-02-02,2076-02-01,Khumbu Bijuli Company Pvt. Ltd.,"Thamo, Solukhumu. Sonam Dorgee Sherpa Ph No. 01-6923781",86.71125,27.80027778,Survey
307,Nar Khola Hydro-Electric Project,Province 4,MANANG,Nashong,50.0,Nar Khola,897,2074-05-25,2076-05-24,Rajendra Das Shrestha,"Narayanchaur Naxal-01, Kathmnadu, 9851023781",84.24361111,28.59277778,Survey
308,Nau Gad Khola,Province 7,DARCHULA,Shailyashikhar,8.5,Naugad,65,2069-03-31,2104-03-30,Api Power Company Pvt. Ltd,"Dillibajar Kathmandu,Phone 4417136,4433252 Fax 4421114",80.60736111,29.70319444,Operation
309,Naugad HPP,Province 7,DARCHULA,Naugad,9.5,Naugad,877,2074-04-17,2076-04-16,Naugad Hydropower PVt. Ltd,"Naxal, Kathmandu,",80.65833333,29.78902778,Survey
311,NImrung Khola HEP,Province 4,GORKHA,Dharche,9.8,Nimrung,926,2074-07-12,2076-07-11,Kiran Power Company Pvt. Ltd.,"Kaldhara-16, Kathmandu",84.86861111,28.26138889,Survey
312,Nisi Khola HEP,Province 4,BAGLUNG,Dhorpatan,8.8,Nisi,979,2074-10-22,2076-10-21,"Shri Ram Neupane, Chandra Bahadur Thapa, Tanka Gaire",Shri Ram Neupane 9851163167,83.09291667,28.35430556,Survey
313,Nupche Likhu HEP,Province 3,RAMECHHAP,Umakunda,57.5,"Nupche , Likhu",826,2074-02-12,2076-02-11,Vision Energy and Power Pvt. Ltd.,"New Baneshwor, Kathmandu",86.475,27.70194444,Survey
315,Nyache Khola Hydropower Project,Province 4,KASKI,Madi,8.76,Nyache Khola,840,2074-02-24,2076-02-23,Surya Water Pvt. Ltd.,"Kathmandu -1, House No. 271 Narayan Chaur Naxal Marg,Situ Plaza,Naxal, Kathmandu",84.15944444,28.38638889,Survey
316,Nyadi Khola,Province 4,LAMJUNG,Marsyangdi,30.0,Nyadi,83,2069-11-03,2104-11-02,Nyadi Hydropower Limited,"P.O.Box. 11728, Kathmandu, Phone 01-4781776, 4784026, Fax 01-4780994",84.44513889,28.33708333,Generation
317,Nyam Nyam,Province 3,RASUWA,Uttargaya,6.0,Nyam Nyam Khola,217,2074-09-28,2109-09-27,Nyam Nyam HydroPower Company Pvt.Ltd.,"Sanepa, Phone no 5184273, 5184173, email nyamnyamkshp@gmail.com",85.19791667,28.07847222,Generation
318,Nyasim Hydropower Project,Province 3,SINDHUPALCHOK,Jugal,35.0,Nyasem Khola,802,2074-01-08,2076-01-07,Sita Hydropower Company Pvt. Ltd.,"Kalimati, Kathmandu-13, Sitaram Timalsina 9851194065, 01-4272426, 4274937",85.80833333,27.975,Survey
319,Padam Khola SHP,Province 6,DAILEKH,Naumule,4.8,Padam Khola,207,2074-06-29,2109-06-28,Dolti Power Company P. Ltd,"Baneshwor, Kathmandu, Phone no 4105021, 97510001589, 9851003846, emai: info@doltipower.com.np",81.83902778,28.90861111,Generation
320,Palun khola 1 Hydropower Project,Province 1,TAPLEJUNG,Phaktanglung,4.95,Palun Khola,893,2074-05-16,2076-05-15,Trust Energy Pvt. Ltd.,"Kathmandu 3, Maharajgunj, Phonw no 4410001, 9851110896",87.64138889,27.58152778,Survey
321,Palun khola small Hydropower Project,Province 1,TAPLEJUNG,Mikwakhola,21.0,Palun Khola,908,2074-06-01,2076-05-30,Palunkhola Hydropower Pvt. Ltd.,"Devkota Sadak, Old Baneshor, Kathmandu -10 Ph:",87.6325,27.55458333,Survey
322,Panauti,Province 3,KABHREPALANCHOK,Panauti,2.4,Roshi,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,85.52430556,27.56958333,Operation
323,Parajuli Khola-1,Province 6,DAILEKH,Dungeshwor,2.15,Parajuli Khola,102,2070-05-03,2105-05-02,Rara Hydropower Development Co.,"Sitapaila - 2, kathmandu, Ph: 01-4033016, 9841209736",81.7075,28.70736111,Generation
324,Pegu Khola Small Hydropower Project,Province 3,DOLAKHA,Bigu,4.35,Pegu,709,2072-09-03,2075-09-02,BiguHydropower Venture,"Kathmandu, GPOBox 8643, PN/FX No 014472349",86.06958333,27.83055556,Survey
325,Phalakhu Khola HPP,Province 3,RASUWA,Naukunda,5.0,Phalankhu Khola,161,2073-03-24,2108-03-23,Rasuwa Hydropower Company Pvt Ltd,"GPO Box: 8003, Kathmandu,Tel; 4880041",85.26194444,27.98597222,Generation
326,Phalakhu Khola HPP,Province 3,RASUWA,Naukunda,14.7,Phalankhu Khola,162,2073-04-10,2108-04-09,Betrawati Hydroelectric Co. Ltd,"Thulo Bharyang, Kathmandu-15, Phone no 4002566, P.O. Box no 8003",85.29305556,28.02013889,Generation
327,Phawa khola Hydropower Project,Province 1,TAPLEJUNG,Sirijangha,5.0,Phawa Khola,39,2067-06-19,2102-06-18,Shiwani Hydropower Company,"Baneshwor, Kathamandu - 10, Ph. 4466405, Fax: 4460137",87.76513889,27.29722222,Operation
328,Phedi Khola (Thumlung) Small HPP,Province 1,BHOJPUR,Shadananda,3.52,Phedi khola (Thumlung),800,2073-12-21,2075-12-20,Phedi khola Hydropower Company Pvt. Ltd.,"Koteshor 35, Ktm. , Prakash Chandra Dulal. Mob No. 9851221372",87.01680556,27.37680556,Survey
329,Phewa,Province 4,KASKI,Madi,1.0,Seti Khola,1_gtd,2051-12-06,2101-11-30,Nepal Electricity Authority,0,83.97708333,28.18819444,Operation
330,Phukot Karnali,Province 6,KALIKOT,Raskot,426.0,Karnali,848,2074-03-02,2076-03-01,Vidhyut Utpadan Company Limited,"Buddhanagar, Kathmandu 01-4788680",81.67055556,29.23819444,Survey
331,Pikhuwa Khola,Province 1,BHOJPUR,Bhojpur,5.0,Pikhuwa,45,2067-12-07,2102-12-06,Eastern Hydropower P Ltd,"Kathmandu, Phone 01-4495459",87.02277778,27.15986111,Generation
332,Pikhuwa Pashupati HEP,Province 1,BHOJPUR,Tyamkemaiyung,3.28,Pikhuwa,880,2074-04-15,2076-04-14,Sumnima Hydropower Company Pvt. Ltd.,"Hulak Yol Marga Kathmandu-14, Dhan Raj Rai 9851097087, Sashi Sharma BHandari -9851140280",86.99166667,27.21319444,Survey
334,Puwa,Province 1,ILAM,Illam,6.2,Puwa,2,2052-05-27,2101-11-30,Nepal Electricity Authority,0,87.91611111,26.89416667,Operation
335,Puwa Khola-1,Province 1,ILAM,Maijogmai,4.0,Puwa,106,2070-06-21,2105-06-20,Puwa Khola - 1 Hydropower Pvt. Ltd,"PO Bpx 20762 Baluwatar Nepal. Ph: 4410057, 9851129708",87.90638889,26.93333333,Operation
336,Radhi Small,Province 4,MANANG,Nashong,4.4,Radhi,47,2068-01-28,2103-01-27,Radhi Bidyut Co. Ltd,"P.O.Box: 20290, Phone-014232750,4232749 , Fax: 014232748, Blue Star Complex, Room No. 523, Tripureshwor, Kathmandu",84.41930556,28.4025,Operation
337,Rahughat,Province 4,MYAGDI,Raghuganga,40.0,Rahughat,49,2068-04-03,2103-04-02,Nepal Electricity Authority,0,83.54833333,28.40083333,Generation
338,Rahughat Mangale,Province 4,MYAGDI,Raghuganga,37.0,Rahughat,175,2073-07-29,2108-07-28,Tundi Power Company P.Ltd.,"Sanepa Lalitpur, P.O.Box. 6341, Phone 01-5555573, Fax 01-5555574, 9851041573",83.51277778,28.50277778,Generation
339,Rasuwa Bhotekoshi,Province 3,RASUWA,Gosaikunda,120.0,Bhote koshi,223,2074-11-03,2109-11-02,Langtang Bhotekosi Hydropower Company Pvt. Ltd,"Sitapaila, Kathmandu, Tel no 9810157778, 9843077976, email langtangproject@gmail.com, liaoxiangi@hotmail.com",85.35416667,28.20472222,Generation
340,Rasuwagadhi,Province 3,RASUWA,Gosaikunda,111.0,Bhote koshi,75,2069-08-21,2104-08-20,Rasuwagadhi H P,"Gyaneswor Kathmandu, P.O.Box 25210, Phone 014439163, 014439284",85.37013889,28.25111111,Generation
341,Rauje Khola HPP,Province 1,SOLUKHUMBU,Khumbupasanglahmu,4.99,Rauje Khola,888,2074-05-09,2076-05-08,Hydro Connection Pvt Ltd,"Latitpur-15, Mahalaxmisthan., phone no 5523784, email connectionhydro@gmail.com",86.68819444,27.63291667,Survey
342,Rawa Khola,Province 1,BHOJPUR,Salpasilichho,3.0,Rawa Khola,186,2073-11-26,2108-11-25,Rawa Energy Development Pvt Ltd,"Ghattekulo, Kathmandu , P.O.Box 20770, Phone 01-4244620",86.85152778,27.35041667,Generation
343,Rawa Khola HEP,Province 1,SOLUKHUMBU,Sotang,3.5,Rawa,911,2074-06-18,2076-06-17,Halesi Hydropower Pvt. Ltd.,"Kathmandu- 34, 9851040510 Purnjan Rai",86.77083333,27.32625,Survey
344,Rawa Khola HPP,Province 1,SOLUKHUMBU,Dudhkaushika,6.5,Rawa Khola,112,2070-10-28,2105-10-27,Dudhkoshi Power Company Pvt Ltd,"Milanchok 34, Kathmandu, GPO Box: 12015, Tel; 01-4469270, Fax 01-4491475",86.74805556,27.30583333,Generation
345,Rele Khola,Province 4,MYAGDI,Annapurna,6.0,Rele Khola,221,2074-10-28,2109-10-27,Hym Consult,"SiphalKathmandu, Ph 4489327, 4491271",83.68930556,28.52,Generation
347,Richet Khola SHP,Province 3,DHADING,Rubi Valley,5.0,Richet,214,2074-09-04,2109-09-03,Richet Jalbidhyut Company Pvt. Ltd.,"Lalitpur-15, Mahalaxmisthan, phone no 5527469, 55237849, 9851006013, email: richethydro@gmail.com",84.92347222,28.17569444,Generation
348,Ridi Khola,Province 5,GULMI,Satyawati,2.4,Ridi,22,2064-02-17,2099-02-16,Ridi Hydropower Development Co P Ltd,"P.O. Box: 11039, Baneswor Kathmandu Ph: 4475234, 44474895",83.41666667,27.9375,Operation
349,Rigdi Khola Hydro Project,Province 3,CHITAWAN,Ichchhyakamana,3.7,Rigdi,828,2074-02-12,2076-02-11,Ridhi Hydropower Pvt. Ltd,"Kantipath Kathmandu, Ph. 01-4232229, Mo. 9851026244 (Anup Acharya)",84.51666667,27.80763889,Survey
350,Rolwaling Khola,Province 3,DOLAKHA,Bigu,22.0,Rolwaling,895,2074-05-21,2076-05-20,Upper Tamakoshi Hydropower Company Limited,"Gyneshwor, KTM, Ph 014421694, 4420658",86.23375,27.9075,Survey
352,Rudi A,Province 4,KASKI,Madi,8.8,Rudi Khola,109,2070-09-12,2105-09-11,Bindhabasini Hydropower Developmwnt Company Pvt.Ltd,"P.O.Box.10242, Newbaneswor, Kathmandu, phone 4781891, Fax 4785671",84.2,28.25416667,Generation
353,Rudi Khola-B Hydropower Project,Province 4,KASKI,Madi,6.6,Rudi Khola,199,2074-02-26,2109-02-25,Bindhyabasini Hydropower Development Co. Pvt Ltd,"Naya Baneshwor, Kathmandu, P.O. Box no 10242, Phone no 4781891, Fax no 4785671, email: rudikhola@gmail.com",84.2,28.28736111,Generation
354,Rugrugad Small HEP,Province 7,DARCHULA,Apihimal,4.91,Rugru gad,976,2074-09-26,2076-09-25,"Radhika Bartaula, Sita Ghimire, Prahlad Chaudhary","Tek prasad Chaulagain, 9851023270",80.80319444,29.78875,Survey
355,Rukum gad,Province 5,RUKUM_E,Putha Uttarganga,5.0,Rukum Gad,136,2072-03-09,2107-03-08,Rapti Hydro and General Construction Pvt. Ltd.,"Tripureshwor, Kathmandu, P. O. Box no 13961 Phone 014101140, 014251080",82.63763889,28.60361111,Generation
356,Rupse Khola,Province 4,MYAGDI,Annapurna,4.0,Rupse Khola,120,2071-01-05,2106-01-04,Research & Development Group,"Buddha Nagar Kathmandu, Phone 014780675",83.62402778,28.55138889,Generation
357,Ruru Banchu - 1,Province 6,JUMLA,Tila,16.0,Rurubanchu Khola,147,2072-06-27,2107-06-26,Mount Nilgiri Hydropower Company Pvt Ltd,"P.O.Box 8003, Kathmandu Phone no 01 4216573",81.78319444,29.10125,Generation
358,Ruru Banchu Khola- 2,Province 6,KALIKOT,Tilagufa,12.0,Rurubanchu Khola,178,2073-09-19,2108-09-18,Ruru hydroelectric Co Pvt. Ltd,"Kalanki Kathmandu, Phone no 4426472, 9751089755",81.75402778,29.10388889,Generation
359,Sabha Khola,Province 1,SANKHUWASABHA,Sabhapokhari,3.3,Sabha Khola,81,2069-10-04,2104-10-03,Dibyaswari Hydropower P Ltd,"Purano Baneswor, Kathmandu, Phone 014461326,",87.28305556,27.39611111,Operation
360,Sabha Khola A,Province 1,SANKHUWASABHA,Chichila,8.3,Sabha Khola,128,2071-06-28,2106-06-27,Deepsabha Hydropower Pvt. Ltd.,Old Baneshwor Kathmandu,87.25833333,27.37416667,Generation
361,Sabha Khola A HEP,Province 1,SANKHUWASABHA,Makalu,9.55,Sabha,1021,2075-03-18,2077-03-17,Sankhuwasabha Power Development Pvt.Ltd,Kathmandu,87.385,27.43597222,Survey
